<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150703,000000,0.94343,0.94411,0.93979,0.93984,69064
20150706,000000,0.94183,0.94717,0.94072,0.94238,99509
20150707,000000,0.94217,0.95152,0.94207,0.94635,101034
20150708,000000,0.94636,0.95097,0.94086,0.94508,108420
20150709,000000,0.94502,0.95152,0.94248,0.94752,109321
20150710,000000,0.94740,0.94911,0.93297,0.93798,107135
20150713,000000,0.93991,0.95030,0.93674,0.95001,99628
20150714,000000,0.95001,0.95319,0.94008,0.94477,105213
20150715,000000,0.94484,0.95477,0.94404,0.95182,94533
20150716,000000,0.95165,0.95839,0.95145,0.95758,98260
20150717,000000,0.95748,0.96187,0.95570,0.96151,97658
20150720,000000,0.96012,0.96492,0.96004,0.96438,96156
20150721,000000,0.96436,0.96484,0.95600,0.95825,94551
20150722,000000,0.95654,0.96320,0.95601,0.95972,65380
20150723,000000,0.95976,0.96025,0.95253,0.95995,69694
20150724,000000,0.95995,0.96357,0.95736,0.96242,67730
20150727,000000,0.96117,0.96326,0.95301,0.96267,75766
20150728,000000,0.96267,0.96740,0.96045,0.96233,62941
20150729,000000,0.96207,0.96895,0.95989,0.96748,70045
20150730,000000,0.96627,0.97189,0.96623,0.96889,79415
20150731,000000,0.96906,0.96931,0.95482,0.96510,91508
20150803,000000,0.96498,0.97023,0.96430,0.96895,62836
20150804,000000,0.96890,0.97897,0.96680,0.97813,78605
20150805,000000,0.97809,0.98217,0.97599,0.97891,79788
20150806,000000,0.97891,0.98477,0.97671,0.98075,66591
20150807,000000,0.98059,0.98836,0.97898,0.98408,72207
20150810,000000,0.98229,0.98911,0.98031,0.98346,66490
20150811,000000,0.98344,0.99028,0.98016,0.98800,85851
20150812,000000,0.98745,0.98888,0.96773,0.97534,96037
20150813,000000,0.97535,0.97938,0.97297,0.97628,67895
20150814,000000,0.97603,0.97868,0.97277,0.97602,57669
20150817,000000,0.97508,0.97983,0.97417,0.97884,55987
20150818,000000,0.97884,0.97955,0.97513,0.97721,53917
20150819,000000,0.97721,0.97779,0.96438,0.96551,73250
20150820,000000,0.96553,0.96714,0.95849,0.95852,81561
20150821,000000,0.95852,0.95950,0.94615,0.94625,93999
20150824,000000,0.94565,0.94813,0.92579,0.93013,130621
20150825,000000,0.93010,0.95051,0.93005,0.93890,128292
20150826,000000,0.93889,0.95513,0.93835,0.95457,129346
20150827,000000,0.95455,0.96723,0.95122,0.96630,94165
20150828,000000,0.96630,0.96666,0.95784,0.96248,86172
20150831,000000,0.96055,0.96895,0.95869,0.96725,65863
20150901,000000,0.96725,0.96740,0.95688,0.95867,101205
20150902,000000,0.95867,0.97001,0.95732,0.96935,81540
20150903,000000,0.96935,0.97706,0.96821,0.97315,86291
20150904,000000,0.97314,0.97698,0.96829,0.97182,79686
20150907,000000,0.97080,0.97639,0.97072,0.97495,75372
20150908,000000,0.97496,0.98213,0.96997,0.97910,75294
20150909,000000,0.97910,0.98238,0.97157,0.97526,89662
20150910,000000,0.97524,0.97929,0.97012,0.97307,92147
20150911,000000,0.97306,0.97959,0.96823,0.96856,79075
20150914,000000,0.96902,0.97193,0.96675,0.96827,60401
20150915,000000,0.96827,0.97633,0.96704,0.97397,60412
20150916,000000,0.97397,0.97623,0.96695,0.97111,62403
20150917,000000,0.97111,0.97246,0.95916,0.95969,85444
20150918,000000,0.95969,0.97049,0.95276,0.96805,85305
20150921,000000,0.96955,0.97400,0.96426,0.97164,70008
20150922,000000,0.97164,0.97532,0.97075,0.97516,67537
20150923,000000,0.97516,0.98018,0.97355,0.97948,78557
20150924,000000,0.97948,0.98038,0.96676,0.97494,86007
20150925,000000,0.97493,0.98435,0.97432,0.97805,85565
20150928,000000,0.97789,0.98159,0.97225,0.97361,76806
20150929,000000,0.97361,0.97493,0.96869,0.97163,88095
20150930,000000,0.97104,0.97759,0.97049,0.97304,84344
20151001,000000,0.97303,0.97887,0.97218,0.97716,76477
20151002,000000,0.97689,0.97946,0.96450,0.97152,90786
20151005,000000,0.97081,0.97675,0.96859,0.97537,79665
20151006,000000,0.97541,0.97670,0.96645,0.96657,72511
20151007,000000,0.96657,0.97396,0.96482,0.97354,81484
20151008,000000,0.97354,0.97379,0.96231,0.96566,82255
20151009,000000,0.96566,0.96755,0.95862,0.96125,79690
20151012,000000,0.96058,0.96308,0.95947,0.96259,49195
20151013,000000,0.96260,0.96465,0.95543,0.95773,63948
20151014,000000,0.95773,0.95855,0.94837,0.94935,70114
20151015,000000,0.94937,0.95527,0.94762,0.95043,76141
20151016,000000,0.95043,0.95533,0.94967,0.95373,64609
20151019,000000,0.95285,0.95780,0.95219,0.95624,61010
20151020,000000,0.95621,0.95708,0.94936,0.95605,58760
20151021,000000,0.95603,0.96111,0.95278,0.95952,69077
20151022,000000,0.95952,0.97389,0.95799,0.97309,92554
20151023,000000,0.97306,0.98007,0.97117,0.97875,82873
20151026,000000,0.97904,0.98390,0.97569,0.98260,65669
20151027,000000,0.98263,0.98739,0.98056,0.98613,62661
20151028,000000,0.98613,0.99572,0.98194,0.99391,82668
20151029,000000,0.99402,0.99557,0.98855,0.98904,78636
20151030,000000,0.98904,0.99107,0.98457,0.98750,84592
20151102,000000,0.98519,0.98917,0.98358,0.98597,63324
20151103,000000,0.98597,0.99251,0.98337,0.99088,60536
20151104,000000,0.99071,0.99516,0.98852,0.99322,73151
20151105,000000,0.99323,0.99796,0.99216,0.99520,79799
20151106,000000,0.99518,1.00763,0.99442,1.00596,73846
20151109,000000,1.00465,1.00618,0.99974,1.00346,134971
20151110,000000,1.00342,1.00866,1.00197,1.00643,69644
20151111,000000,1.00643,1.00721,1.00291,1.00452,62458
20151112,000000,1.00437,1.00852,0.99899,0.99984,82639
20151113,000000,0.99983,1.00947,0.99983,1.00624,80869
20151116,000000,1.00587,1.01031,1.00440,1.00962,65813
20151117,000000,1.00962,1.01709,1.00907,1.01459,81316
20151118,000000,1.01461,1.02200,1.01278,1.01983,74161
20151119,000000,1.01981,1.02017,1.01219,1.01266,100262
20151120,000000,1.01266,1.01979,1.01221,1.01866,80651
20151123,000000,1.01921,1.02261,1.01754,1.01813,74052
20151124,000000,1.01813,1.01940,1.01441,1.01679,74528
20151125,000000,1.01647,1.02604,1.01438,1.02164,89708
20151126,000000,1.02082,1.02532,1.01960,1.02361,59052
20151127,000000,1.02357,1.03280,1.02259,1.02944,73070
20151130,000000,1.02964,1.03198,1.02585,1.02892,76989
20151201,000000,1.02882,1.03018,1.02541,1.02588,74574
20151202,000000,1.02587,1.03074,1.01795,1.01834,88431
20151203,000000,1.01823,1.02639,0.98751,0.99332,115794
20151204,000000,0.99332,1.00341,0.99119,0.99620,120353
20151207,000000,0.99704,1.00316,0.99621,0.99997,79334
20151208,000000,0.99998,1.00102,0.99173,0.99233,81262
20151209,000000,0.99233,0.99446,0.98204,0.98312,90827
20151210,000000,0.98282,0.99081,0.98275,0.98775,74777
20151211,000000,0.98775,0.98986,0.98032,0.98250,89682
20151214,000000,0.98302,0.98722,0.97861,0.98506,93223
20151215,000000,0.98508,0.99248,0.97983,0.99140,93721
20151216,000000,0.99140,0.99207,0.98101,0.99007,111004
20151217,000000,0.99002,0.99911,0.98672,0.99644,84110
20151218,000000,0.99599,0.99758,0.99150,0.99192,83795
20151221,000000,0.99259,0.99686,0.98973,0.99234,66836
20151222,000000,0.99234,0.99374,0.98571,0.98708,59306
20151223,000000,0.98708,0.99450,0.98591,0.99050,52667
20151224,000000,0.99042,0.99160,0.98526,0.98685,29207
20151228,000000,0.98639,0.99020,0.98502,0.98754,38167
20151229,000000,0.98825,0.99431,0.98616,0.99244,43019
20151230,000000,0.99304,0.99304,0.98567,0.98841,43102
20151231,000000,0.98841,1.00207,0.98725,0.99968,36836
20160104,000000,1.00006,1.00626,0.99238,1.00141,85585
20160105,000000,1.00207,1.01242,1.00072,1.00800,71831
20160106,000000,1.00840,1.01196,1.00571,1.00671,78457
20160107,000000,1.00671,1.00801,0.99223,0.99272,94717
20160108,000000,0.99265,1.00519,0.99240,0.99448,106328
20160111,000000,0.99447,1.00228,0.98803,1.00128,86204
20160112,000000,1.00138,1.00463,0.99663,1.00193,85106
20160113,000000,1.00218,1.01064,1.00143,1.00544,87658
20160114,000000,1.00536,1.00919,1.00095,1.00455,105636
20160115,000000,1.00455,1.00604,0.99583,1.00146,113468
20160118,000000,1.00090,1.00730,1.00004,1.00489,59973
20160119,000000,1.00528,1.00820,1.00018,1.00314,94290
20160120,000000,1.00333,1.00577,0.99900,1.00364,110718
20160121,000000,1.00381,1.01464,1.00126,1.00709,133869
20160122,000000,1.00709,1.01656,1.00666,1.01623,93037
20160125,000000,1.01573,1.01673,1.01245,1.01262,75324
20160126,000000,1.01273,1.01986,1.01173,1.01619,76154
20160127,000000,1.01647,1.01887,1.01294,1.01482,111196
20160128,000000,1.01498,1.01775,1.01104,1.01313,108943
20160129,000000,1.01313,1.02561,1.01313,1.02275,128721
20160201,000000,1.02158,1.02494,1.01553,1.01921,87541
20160202,000000,1.01911,1.02242,1.01701,1.01830,84590
20160203,000000,1.01814,1.01940,0.99876,1.00370,125038
20160204,000000,1.00370,1.00740,0.99217,0.99300,151395
20160205,000000,0.99303,0.99850,0.98808,0.99169,128873
20160208,000000,0.99194,0.99729,0.98403,0.98666,145662
20160209,000000,0.98701,0.98745,0.96950,0.97257,171145
20160210,000000,0.97268,0.98195,0.97095,0.97344,186930
20160211,000000,0.97360,0.97625,0.96613,0.97240,200566
20160212,000000,0.97227,0.97905,0.97142,0.97744,135704
20160215,000000,0.97663,0.98890,0.97651,0.98671,104280
