<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161204,000000,1181.12,1188.10,1156.28,1159.59,602629
20161211,000000,1159.69,1165.79,1122.65,1134.24,642322
20161218,000000,1133.91,1142.40,1125.83,1133.36,472094
20161225,000000,1133.89,1163.24,1131.72,1156.12,326983
20170101,000000,1150.34,1185.02,1146.10,1172.50,557135
20170108,000000,1172.55,1206.99,1171.88,1196.95,720491
20170115,000000,1199.51,1218.86,1195.85,1209.72,713272
20170122,000000,1209.48,1220.12,1180.54,1190.75,669104
20170129,000000,1192.57,1225.28,1188.17,1219.78,691584
20170205,000000,1219.83,1244.74,1219.14,1233.24,648716
20170212,000000,1232.47,1243.81,1216.69,1234.17,626171
20170219,000000,1235.16,1260.14,1225.71,1256.69,421623
20170226,000000,1257.74,1263.82,1222.91,1233.95,537965
20170305,000000,1233.38,1236.85,1194.99,1204.37,455821
20170312,000000,1205.37,1233.68,1197.32,1229.21,350945
20170319,000000,1229.11,1253.21,1226.83,1243.24,406277
20170326,000000,1245.82,1261.10,1239.62,1249.01,384947
20170402,000000,1249.48,1270.89,1243.68,1254.06,440609
20170409,000000,1253.79,1288.62,1247.05,1287.21,449455
20170416,000000,1290.15,1295.54,1273.99,1283.43,549472
20170423,000000,1275.28,1278.16,1260.01,1267.64,522892
20170430,000000,1268.04,1271.17,1225.71,1227.86,476130
20170507,000000,1221.49,1236.56,1214.29,1228.03,512901
20170514,000000,1228.06,1265.05,1226.89,1255.30,1203117
20170521,000000,1256.73,1269.45,1247.91,1266.25,929514
20170528,000000,1267.55,1279.51,1259.02,1278.50,706815
20170604,000000,1279.72,1296.08,1264.63,1266.28,882542
20170611,000000,1267.51,1281.06,1251.43,1253.25,932164
20170618,000000,1253.89,1258.82,1240.86,1256.14,922396
20170625,000000,1257.19,1258.08,1235.92,1241.33,1321962
20170702,000000,1240.80,1242.67,1207.27,1212.91,1220212
20170709,000000,1211.94,1232.82,1204.78,1228.38,827812
20170716,000000,1228.99,1255.71,1228.19,1254.59,803730
20170723,000000,1255.26,1270.79,1243.71,1269.29,907281
20170730,000000,1269.78,1274.11,1254.14,1258.47,851727
20170806,000000,1258.08,1292.01,1251.32,1289.04,901854
20170813,000000,1290.31,1300.88,1267.29,1283.73,1012108
20170820,000000,1283.20,1294.51,1275.97,1290.94,959553
20170827,000000,1291.90,1328.82,1291.84,1324.72,1152131
20170903,000000,1334.08,1357.50,1326.24,1346.35,1162661
20170910,000000,1335.94,1340.04,1315.69,1320.00,1081656
20170917,000000,1319.29,1319.97,1288.16,1297.10,1020010
20170924,000000,1297.75,1313.63,1275.82,1279.96,1094451
20171001,000000,1279.44,1282.19,1260.62,1276.31,883328
20171008,000000,1276.08,1303.78,1274.83,1303.52,877478
20171015,000000,1302.59,1306.04,1276.66,1280.24,1206426
