<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141113,000000,1161.73,1167.98,1153.86,1162.19,74106
20141114,000000,1162.01,1193.56,1146.88,1188.54,81206
20141117,000000,1186.69,1194.15,1181.43,1186.40,80743
20141118,000000,1185.20,1204.60,1183.36,1196.68,71757
20141119,000000,1197.03,1202.15,1175.07,1182.31,87375
20141120,000000,1184.44,1197.07,1176.76,1193.35,85578
20141121,000000,1194.07,1207.76,1186.74,1201.30,81798
20141124,000000,1200.70,1204.19,1192.78,1196.73,55644
20141125,000000,1197.23,1202.87,1190.38,1200.70,67948
20141126,000000,1201.18,1201.64,1194.88,1197.67,43503
20141127,000000,1197.72,1199.58,1185.62,1190.65,45531
20141128,000000,1190.70,1192.28,1165.19,1166.96,60912
20141201,000000,1159.63,1220.93,1141.70,1211.82,102888
20141202,000000,1210.78,1212.62,1191.96,1197.92,76852
20141203,000000,1197.74,1215.01,1194.48,1209.24,70821
20141204,000000,1209.26,1213.32,1201.27,1205.09,69960
20141205,000000,1205.50,1207.54,1186.22,1192.00,81485
20141208,000000,1190.83,1208.84,1187.08,1202.98,77171
20141209,000000,1203.41,1238.18,1199.30,1230.75,130523
20141210,000000,1230.25,1238.21,1224.60,1226.02,93607
20141211,000000,1225.29,1232.72,1215.84,1227.24,91227
20141212,000000,1226.99,1228.04,1214.31,1222.37,76709
20141215,000000,1221.95,1224.10,1190.55,1192.94,101280
20141216,000000,1194.65,1223.48,1187.51,1196.68,95626
20141217,000000,1195.04,1202.94,1183.09,1189.31,79641
20141218,000000,1188.99,1213.81,1188.23,1198.34,67295
20141219,000000,1197.76,1201.22,1193.65,1195.49,56018
20141222,000000,1195.31,1203.21,1170.50,1176.07,38216
20141223,000000,1176.27,1184.69,1172.54,1176.27,30814
20141224,000000,1176.62,1181.04,1172.78,1173.89,17007
20141226,000000,1186.44,1198.88,1185.24,1195.77,12817
20141229,000000,1194.07,1197.43,1178.77,1182.91,33132
20141230,000000,1182.70,1210.58,1180.69,1200.18,43537
20141231,000000,1199.58,1203.73,1182.50,1187.63,24681
20150102,000000,1186.90,1194.81,1167.30,1188.45,32912
20150105,000000,1187.43,1207.37,1178.03,1204.47,48333
20150106,000000,1203.81,1222.91,1201.58,1218.34,51855
20150107,000000,1218.50,1218.71,1208.93,1211.15,45385
20150108,000000,1210.58,1216.56,1204.56,1208.57,41925
20150109,000000,1208.64,1223.85,1207.07,1223.03,44764
20150112,000000,1222.91,1235.83,1217.39,1232.94,45140
20150113,000000,1232.68,1244.09,1227.13,1230.41,48921
20150114,000000,1230.33,1244.25,1224.92,1228.39,57747
20150115,000000,1228.28,1266.64,1225.93,1262.28,60807
20150116,000000,1262.38,1282.03,1254.92,1280.08,66198
20150119,000000,1280.25,1281.47,1271.89,1276.49,44297
20150120,000000,1275.60,1296.96,1274.03,1294.87,83343
20150121,000000,1293.97,1304.92,1283.89,1292.57,103289
20150122,000000,1293.13,1307.30,1279.38,1301.90,100115
20150123,000000,1301.75,1301.87,1284.12,1294.10,93661
20150126,000000,1292.99,1299.00,1275.66,1280.93,87715
20150127,000000,1280.78,1297.39,1272.13,1291.98,87666
20150128,000000,1291.95,1293.61,1279.47,1284.10,82222
20150129,000000,1283.50,1285.90,1252.14,1256.79,69982
20150130,000000,1257.83,1284.58,1256.95,1283.15,99380
20150202,000000,1282.26,1283.15,1266.31,1273.95,86763
20150203,000000,1274.88,1285.55,1255.31,1260.03,95145
20150204,000000,1259.90,1272.09,1256.50,1268.82,91284
20150205,000000,1269.97,1273.86,1256.03,1264.42,86182
20150206,000000,1264.71,1268.74,1228.31,1233.55,79074
20150209,000000,1236.04,1243.40,1234.12,1238.67,77767
20150210,000000,1237.87,1245.67,1230.87,1233.23,82334
20150211,000000,1233.92,1238.71,1216.26,1218.73,69051
20150212,000000,1218.59,1232.95,1218.03,1221.58,76111
20150213,000000,1222.58,1234.80,1222.58,1229.47,79951
20150216,000000,1227.56,1236.42,1227.56,1230.62,48214
20150217,000000,1230.38,1233.73,1203.62,1209.45,81813
20150218,000000,1209.06,1213.32,1197.44,1212.08,73050
20150219,000000,1212.48,1222.79,1205.25,1206.49,79154
20150220,000000,1207.03,1215.14,1197.95,1201.49,80655
20150223,000000,1203.31,1210.15,1190.60,1201.41,71490
20150224,000000,1201.78,1204.38,1190.14,1200.20,75070
20150225,000000,1200.84,1211.68,1200.83,1204.94,73712
20150226,000000,1204.00,1219.78,1203.38,1209.20,76182
20150227,000000,1208.37,1219.26,1204.21,1212.83,71383
20150302,000000,1213.15,1223.06,1204.40,1206.67,73611
20150303,000000,1205.84,1214.64,1195.19,1203.26,76654
20150304,000000,1203.80,1208.85,1198.12,1200.06,69786
20150305,000000,1200.12,1209.32,1196.30,1198.24,68614
20150306,000000,1197.66,1200.54,1163.55,1167.13,77225
20150309,000000,1169.96,1175.16,1165.67,1166.73,66520
20150310,000000,1166.71,1170.38,1154.78,1161.62,84185
20150311,000000,1161.65,1164.99,1147.39,1155.13,77358
20150312,000000,1155.06,1166.36,1148.50,1153.52,83868
20150313,000000,1153.07,1161.58,1151.19,1158.21,76191
20150316,000000,1158.46,1163.96,1150.23,1154.44,74414
20150317,000000,1154.10,1159.68,1142.52,1149.31,73024
20150318,000000,1148.71,1175.38,1145.86,1167.50,79283
20150319,000000,1167.08,1177.81,1159.46,1171.02,94852
20150320,000000,1170.76,1187.90,1168.71,1182.41,75926
20150323,000000,1183.47,1191.63,1179.28,1189.47,81147
20150324,000000,1189.13,1195.01,1185.37,1193.24,77249
20150325,000000,1193.06,1199.64,1186.56,1195.38,75494
20150326,000000,1195.78,1219.71,1194.42,1204.66,87659
20150327,000000,1203.49,1206.11,1192.55,1198.54,70245
20150330,000000,1198.57,1199.48,1182.41,1186.06,67976
20150331,000000,1185.38,1190.73,1178.41,1183.31,79929
20150401,000000,1183.36,1208.53,1180.80,1203.96,79420
20150402,000000,1203.91,1207.32,1194.91,1202.63,72139
20150406,000000,1213.43,1224.19,1213.43,1214.90,62283
20150407,000000,1214.27,1215.80,1207.46,1209.23,71497
20150408,000000,1208.54,1212.31,1197.49,1202.31,74111
20150409,000000,1202.73,1203.37,1192.62,1194.66,70832
20150410,000000,1194.07,1210.66,1193.23,1207.51,70146
20150413,000000,1206.75,1209.47,1196.35,1198.76,73988
20150414,000000,1198.90,1201.54,1183.91,1192.62,77926
20150415,000000,1192.41,1204.62,1188.84,1202.42,74413
20150416,000000,1202.13,1209.06,1194.67,1198.49,89220
20150417,000000,1198.87,1207.70,1197.39,1204.15,77416
20150420,000000,1204.44,1209.11,1191.30,1195.83,75494
20150421,000000,1196.03,1204.25,1193.07,1202.13,66084
20150422,000000,1202.37,1204.76,1185.69,1187.02,72804
20150423,000000,1187.41,1198.04,1184.32,1193.79,71248
20150424,000000,1193.64,1195.95,1175.19,1179.21,67157
20150427,000000,1179.72,1207.17,1178.59,1201.94,69035
20150428,000000,1202.03,1215.07,1199.19,1212.21,71352
20150429,000000,1211.74,1213.99,1201.33,1204.95,73371
20150430,000000,1204.99,1207.22,1177.07,1184.03,80798
20150501,000000,1184.20,1185.19,1170.14,1178.37,60523
20150504,000000,1177.36,1192.83,1177.36,1188.35,73012
20150505,000000,1188.06,1199.74,1185.64,1192.88,87989
20150506,000000,1192.93,1197.65,1188.13,1192.06,90757
20150507,000000,1191.67,1192.87,1178.83,1184.33,98118
20150508,000000,1183.78,1193.65,1181.51,1188.43,86955
20150511,000000,1189.39,1191.73,1178.84,1183.74,80876
20150512,000000,1183.23,1197.10,1180.81,1193.66,95556
20150513,000000,1192.79,1218.84,1191.25,1215.51,107706
20150514,000000,1215.13,1227.12,1212.27,1220.97,126337
20150515,000000,1221.06,1226.12,1210.98,1223.88,119891
20150518,000000,1223.95,1232.35,1221.58,1225.24,110645
20150519,000000,1225.57,1225.57,1205.83,1207.65,122058
20150520,000000,1207.86,1213.40,1203.22,1209.56,103703
20150521,000000,1209.71,1212.74,1201.53,1206.19,112591
20150522,000000,1206.39,1214.92,1201.56,1206.28,119889
20150525,000000,1205.46,1208.65,1202.83,1206.99,50778
20150526,000000,1206.84,1207.57,1185.57,1187.06,141825
20150527,000000,1187.08,1190.91,1183.63,1187.69,114903
20150528,000000,1187.59,1192.16,1180.37,1188.15,125104
20150529,000000,1187.82,1193.99,1185.67,1190.38,121208
